chip_x	chip_y	dropped	injected	routed	received	inj_rate	inj_period	pattern
0	0	476	1133	953	363	0.301887	53	tornado
1	0	685	670	1308	585	0.301887	53	tornado
2	0	659	653	1677	0	0.301887	53	tornado
3	0	656	675	1857	356	0.301887	53	tornado
4	0	656	655	1860	0	0.301887	53	tornado
5	0	659	659	1977	0	0.301887	53	tornado
6	0	659	651	1948	0	0.301887	53	tornado
7	0	655	658	1965	0	0.301887	53	tornado
8	0	654	657	1974	0	0.301887	53	tornado
9	0	657	654	1957	0	0.301887	53	tornado
10	0	653	843	1980	227	0.301887	53	tornado
11	0	0	1132	1495	362	0.301887	53	tornado
12	0	0	0	0	0	0	0	0

0	1	424	1132	1057	312	0.301887	53	tornado
1	1	676	654	1957	105	0.301887	53	tornado
2	1	656	658	1815	0	0.301887	53	tornado
3	1	658	654	1958	501	0.301887	53	tornado
4	1	659	653	1947	24	0.301887	53	tornado
5	1	652	659	1984	184	0.301887	53	tornado
6	1	651	651	1956	0	0.301887	53	tornado
7	1	653	659	1983	0	0.301887	53	tornado
8	1	652	655	1967	0	0.301887	53	tornado
9	1	652	732	2049	127	0.301887	53	tornado
10	1	505	764	1968	0	0.301887	53	tornado
11	1	266	1132	866	313	0.301887	53	tornado
12	1	0	0	0	0	0	0	0

0	2	472	1132	967	659	0.301887	53	tornado
1	2	655	668	1425	99	0.301887	53	tornado
2	2	683	656	1647	336	0.301887	53	tornado
3	2	659	693	1496	135	0.301887	53	tornado
4	2	653	653	1930	314	0.301887	53	tornado
5	2	658	656	1963	166	0.301887	53	tornado
6	2	651	651	1956	0	0.301887	53	tornado
7	2	654	659	1967	0	0.301887	53	tornado
8	2	658	652	1971	0	0.301887	53	tornado
9	2	650	658	1928	0	0.301887	53	tornado
10	2	563	792	2017	0	0.301887	53	tornado
11	2	0	1132	1265	653	0.301887	53	tornado
12	2	0	0	0	0	0	0	0

0	3	473	1132	1231	88	0.301887	53	tornado
1	3	662	654	1514	237	0.301887	53	tornado
2	3	675	717	1894	0	0.301887	53	tornado
3	3	717	682	1823	365	0.301887	53	tornado
4	3	659	659	1929	172	0.301887	53	tornado
5	3	655	654	1970	0	0.301887	53	tornado
6	3	651	651	1977	0	0.301887	53	tornado
7	3	655	656	1964	0	0.301887	53	tornado
8	3	657	654	1965	0	0.301887	53	tornado
9	3	657	654	1968	0	0.301887	53	tornado
10	3	655	758	1356	377	0.301887	53	tornado
11	3	0	1132	1434	656	0.301887	53	tornado
12	3	0	0	0	0	0	0	0

0	4	426	1132	1279	572	0.301887	53	tornado
1	4	657	685	1584	573	0.301887	53	tornado
2	4	703	665	1281	0	0.301887	53	tornado
3	4	765	652	1322	586	0.301887	53	tornado
4	4	657	657	1949	38	0.301887	53	tornado
5	4	652	659	1984	339	0.301887	53	tornado
6	4	659	660	1957	0	0.301887	53	tornado
7	4	655	654	1920	66	0.301887	53	tornado
8	4	651	652	1978	0	0.301887	53	tornado
9	4	659	658	1976	0	0.301887	53	tornado
10	4	657	802	1202	0	0.301887	53	tornado
11	4	0	1132	1208	76	0.301887	53	tornado
12	4	0	0	0	0	0	0	0

0	5	412	1132	1028	353	0.301887	53	tornado
1	5	681	673	1311	351	0.301887	53	tornado
2	5	712	682	1624	5	0.301887	53	tornado
3	5	681	680	1592	367	0.301887	53	tornado
4	5	654	657	1669	75	0.301887	53	tornado
5	5	660	652	1950	36	0.301887	53	tornado
6	5	651	651	1977	0	0.301887	53	tornado
7	5	657	659	1796	0	0.301887	53	tornado
8	5	655	656	1951	208	0.301887	53	tornado
9	5	651	658	1458	0	0.301887	53	tornado
10	5	685	859	1774	0	0.301887	53	tornado
11	5	168	1132	1541	0	0.301887	53	tornado
12	5	0	0	0	0	0	0	0

0	6	403	1132	1037	307	0.301887	53	tornado
1	6	664	725	1634	575	0.301887	53	tornado
2	6	680	699	1366	0	0.301887	53	tornado
3	6	658	659	1667	0	0.301887	53	tornado
4	6	654	654	1962	133	0.301887	53	tornado
5	6	657	657	1971	130	0.301887	53	tornado
6	6	659	660	1957	0	0.301887	53	tornado
7	6	655	655	1968	56	0.301887	53	tornado
8	6	654	655	1899	0	0.301887	53	tornado
9	6	657	657	1200	0	0.301887	53	tornado
10	6	655	783	1917	0	0.301887	53	tornado
11	6	0	1132	1264	526	0.301887	53	tornado
12	6	0	0	0	0	0	0	0

0	7	383	1132	1268	519	0.301887	53	tornado
1	7	677	676	1435	136	0.301887	53	tornado
2	7	748	730	1366	5	0.301887	53	tornado
3	7	680	668	1837	501	0.301887	53	tornado
4	7	654	654	1713	231	0.301887	53	tornado
5	7	655	659	1975	246	0.301887	53	tornado
6	7	659	660	1957	0	0.301887	53	tornado
7	7	659	659	1977	0	0.301887	53	tornado
8	7	655	654	1970	0	0.301887	53	tornado
9	7	657	657	1970	0	0.301887	53	tornado
10	7	655	832	1963	379	0.301887	53	tornado
11	7	0	1132	1788	656	0.301887	53	tornado
12	7	0	0	0	0	0	0	0

0	8	454	1132	762	576	0.301887	53	tornado
1	8	729	678	1301	646	0.301887	53	tornado
2	8	719	670	1841	154	0.301887	53	tornado
3	8	660	653	1415	0	0.301887	53	tornado
4	8	654	657	1746	86	0.301887	53	tornado
5	8	655	654	1969	121	0.301887	53	tornado
6	8	659	660	1957	0	0.301887	53	tornado
7	8	651	654	1974	10	0.301887	53	tornado
8	8	658	658	1947	159	0.301887	53	tornado
9	8	654	655	1535	0	0.301887	53	tornado
10	8	764	674	956	659	0.301887	53	tornado
11	8	229	1132	1556	0	0.301887	53	tornado
12	8	0	0	0	0	0	0	0

0	9	410	1132	1075	309	0.301887	53	tornado
1	9	672	661	1405	557	0.301887	53	tornado
2	9	714	684	1357	346	0.301887	53	tornado
3	9	717	656	1638	627	0.301887	53	tornado
4	9	657	655	1819	26	0.301887	53	tornado
5	9	657	657	1973	249	0.301887	53	tornado
6	9	651	660	1986	0	0.301887	53	tornado
7	9	652	659	1963	0	0.301887	53	tornado
8	9	657	662	1973	0	0.301887	53	tornado
9	9	653	660	1983	0	0.301887	53	tornado
10	9	656	807	1939	0	0.301887	53	tornado
11	9	0	1132	1212	82	0.301887	53	tornado
12	9	0	0	0	0	0	0	0

0	10	408	1132	816	568	0.301887	53	tornado
1	10	741	713	1806	362	0.301887	53	tornado
2	10	659	663	1604	567	0.301887	53	tornado
3	10	659	658	1960	46	0.301887	53	tornado
4	10	653	659	1983	24	0.301887	53	tornado
5	10	657	655	1961	0	0.301887	53	tornado
6	10	659	651	1948	0	0.301887	53	tornado
7	10	652	652	1449	0	0.301887	53	tornado
8	10	652	661	1949	0	0.301887	53	tornado
9	10	657	683	1988	0	0.301887	53	tornado
10	10	671	828	1943	0	0.301887	53	tornado
11	10	0	1132	1132	658	0.301887	53	tornado
12	10	0	0	0	0	0	0	0

0	11	474	1132	1235	82	0.301887	53	tornado
1	11	668	745	1896	135	0.301887	53	tornado
2	11	659	700	1867	1	0.301887	53	tornado
3	11	653	670	1471	515	0.301887	53	tornado
4	11	659	653	1816	0	0.301887	53	tornado
5	11	657	654	1966	94	0.301887	53	tornado
6	11	651	659	1964	2	0.301887	53	tornado
7	11	658	659	1744	0	0.301887	53	tornado
8	11	643	658	1991	0	0.301887	53	tornado
9	11	657	654	1235	0	0.301887	53	tornado
10	11	517	848	2113	653	0.301887	53	tornado
11	11	0	1132	1427	655	0.301887	53	tornado
12	11	0	0	0	0	0	0	0

0	12	0	0	0	0	0	0	0
1	12	0	0	0	0	0	0	0
2	12	0	0	0	0	0	0	0
3	12	0	0	0	0	0	0	0
4	12	0	0	0	0	0	0	0
5	12	0	0	0	0	0	0	0
6	12	0	0	0	0	0	0	0
7	12	0	0	0	0	0	0	0
8	12	0	0	0	0	0	0	0
9	12	0	0	0	0	0	0	0
10	12	0	0	0	0	0	0	0
11	12	0	0	0	0	0	0	0
12	12	0	0	0	0	0	0	0
